colour|color
colours|colors
coloured|colored
colouring|coloring
colourful|colorful
favour|favor
favours|favors
favoured|favored
favouring|favoring
favourable|favorable
favourite|favorite
favourites|favorites
honour|honor
honours|honors
honoured|honored
honouring|honoring
honourable|honorable
humour|humor
humours|humors
humoured|humored
humouring|humoring
humorous|humorous
labour|labor
labours|labors
laboured|labored
labouring|laboring
neighbour|neighbor
neighbours|neighbors
neighbouring|neighboring
neighbourhood|neighborhood
behaviour|behavior
behaviours|behaviors
behavioural|behavioral
savour|savor
savours|savors
savoured|savored
savouring|savoring
savoury|savory
vapour|vapor
vapours|vapors
glamour|glamor
clamour|clamor
odour|odor
odours|odors
rancour|rancor
rigour|rigor
vigour|vigor
ardour|ardor
candour|candor
parlour|parlor
valour|valor
tumour|tumor
tumours|tumors
rumour|rumor
rumours|rumors
armour|armor
armoured|armored
armoury|armory
harbour|harbor
harbours|harbors
centre|center
centres|centers
centred|centered
centring|centering
theatre|theater
theatres|theaters
metre|meter
metres|meters
litre|liter
litres|liters
fibre|fiber
fibres|fibers
lustre|luster
sombre|somber
spectre|specter
spectres|specters
sabre|saber
sabres|sabers
calibre|caliber
meagre|meager
manoeuvre|maneuver
manoeuvres|maneuvers
manoeuvred|maneuvered
manoeuvring|maneuvering
reconnoitre|reconnoiter
analyse|analyze
analyses|analyzes
analysed|analyzed
analysing|analyzing
paralyse|paralyze
paralyses|paralyzes
paralysed|paralyzed
paralysing|paralyzing
catalyse|catalyze
catalysed|catalyzed
catalysing|catalyzing
dialyse|dialyze
defence|defense
defences|defenses
offence|offense
offences|offenses
licence|license
pretence|pretense
grey|gray
greys|grays
greyed|grayed
greying|graying
greyish|grayish
catalogue|catalog
catalogues|catalogs
catalogued|cataloged
cataloguing|cataloging
dialogue|dialog
dialogues|dialogs
prologue|prolog
prologues|prologs
epilogue|epilog
epilogues|epilogs
monologue|monolog
analogue|analog
analogues|analogs
programme|program
programmes|programs
programmed|programed
programming|programing
aluminium|aluminum
jewellery|jewelry
jeweller|jeweler
jewellers|jewelers
traveller|traveler
travellers|travelers
travelling|traveling
travelled|traveled
counsellor|counselor
counsellors|counselors
counselling|counseling
cancelled|canceled
cancelling|canceling
levelled|leveled
levelling|leveling
modelled|modeled
modelling|modeling
panelled|paneled
panelling|paneling
labelled|labeled
labelling|labeling
fuelled|fueled
fuelling|fueling
channelled|channeled
channelling|channeling
equalled|equaled
equalling|equaling
marvelled|marveled
marvelling|marveling
marvellous|marvelous
signalled|signaled
signalling|signaling
totalled|totaled
totalling|totaling
dialled|dialed
dialling|dialing
organisation|organization
organisations|organizations
organise|organize
organises|organizes
organised|organized
organising|organizing
realise|realize
realises|realizes
realised|realized
realising|realizing
recognise|recognize
recognises|recognizes
recognised|recognized
recognising|recognizing
apologise|apologize
apologises|apologizes
apologised|apologized
apologising|apologizing
authorise|authorize
authorises|authorizes
authorised|authorized
authorising|authorizing
characterise|characterize
characterises|characterizes
characterised|characterized
characterising|characterizing
civilise|civilize
civilised|civilized
colonise|colonize
colonised|colonized
colonising|colonizing
criticise|criticize
criticises|criticizes
criticised|criticized
criticising|criticizing
customise|customize
customised|customized
customising|customizing
dramatise|dramatize
dramatised|dramatized
emphasise|emphasize
emphasises|emphasizes
emphasised|emphasized
emphasising|emphasizing
equalise|equalize
equalised|equalized
equalising|equalizing
fertilise|fertilize
fertilised|fertilized
fertilising|fertilizing
finalise|finalize
finalised|finalized
finalising|finalizing
globalise|globalize
globalised|globalized
globalising|globalizing
harmonise|harmonize
harmonised|harmonized
harmonising|harmonizing
hospitalise|hospitalize
hospitalised|hospitalized
hospitalising|hospitalizing
idealise|idealize
idealised|idealized
idealising|idealizing
immunise|immunize
immunised|immunized
immunising|immunizing
initialise|initialize
initialised|initialized
initialising|initializing
legalise|legalize
legalised|legalized
legalising|legalizing
liberalise|liberalize
liberalised|liberalized
maximise|maximize
maximised|maximized
maximising|maximizing
memorise|memorize
memorised|memorized
memorising|memorizing
minimise|minimize
minimised|minimized
minimising|minimizing
mobilise|mobilize
mobilised|mobilized
mobilising|mobilizing
modernise|modernize
modernised|modernized
modernising|modernizing
monopolise|monopolize
monopolised|monopolized
monopolising|monopolizing
moralise|moralize
moralised|moralized
nationalise|nationalize
nationalised|nationalized
nationalising|nationalizing
naturalise|naturalize
naturalised|naturalized
neutralise|neutralize
neutralised|neutralized
normalise|normalize
